Wetland,asset_precip_3m,subwetland,year,asset_precip_3m_scaled,asset_precip_3m_scaled_lagged,asset_precip,asset_precip_annual_scaled,asset_precip_annual_scaled_lagged
Barmah-Millewa,3228.528428003366,,2018,-0.4489700909814636,2.2928744822090343,10779.886904512787,-0.9523738545486866,-0.3672775932177709
Barmah-Millewa,1993.9298772872655,,2019,-1.561707821037939,-0.4489700909814636,11596.687975711448,-0.6074523464385614,-0.9523738545486866
Barmah-Millewa,2862.818703859928,,2020,-0.7785825047226861,-1.561707821037939,14183.426350131926,0.4848842489115207,-0.6074523464385614
Barmah-Millewa,3364.9860502902197,,2021,-0.3259814929596166,-0.7785825047226861,13232.025286359645,0.08312340247636922,0.4848842489115207
Barmah-Millewa,3481.1160205144506,,2022,-0.22131410987878894,-0.3259814929596166,16029.702539980175,1.2645359783782024,0.08312340247636922
Barmah-Millewa,4932.135309485829,,2023,1.0864825896569899,-0.22131410987878894,16809.61005843235,1.5938779527418996,1.2645359783782024
Barmah-Millewa,2324.443819564465,,2024,-1.263817196050385,1.0864825896569899,16119.255551324166,1.3023527257084222,1.5938779527418996
Barmah-Millewa,2871.427771715556,,2025,-0.7708231933108777,-1.263817196050385,11564.969454591874,-0.6208465503951394,1.3023527257084222
Booligal Wetlands,15594.883999547528,,1982,0.54687954248189,NA,36678.20732072064,-1.2888655134444338,NA
Booligal Wetlands,6269.030389055552,,1983,-1.4873184725925395,0.54687954248189,57127.94954593624,0.4520583408810684,-1.2888655134444338
Booligal Wetlands,18310.094584225903,,1984,1.13913374381826,-1.4873184725925395,69966.53514759702,1.545030549702911,0.4520583408810684
Booligal Wetlands,20790.126132005807,,1985,1.6800896136530763,1.13913374381826,37675.098007166845,-1.2039983910584535,1.545030549702911
Booligal Wetlands,12348.658059036265,,1986,-0.1612021667615362,1.6800896136530763,51798.53009955918,-0.001644857023481717,-1.2039983910584535
Booligal Wetlands,15228.890288748697,,1987,0.46704731359089485,-0.1612021667615362,51499.276283248735,-0.02712088022099697,-0.001644857023481717
Booligal Wetlands,13981.509199085425,,1988,0.19496282217450578,0.46704731359089485,60782.133929171985,0.7631457223657397,-0.02712088022099697
Booligal Wetlands,16850.957282954572,,1989,0.8208600151133747,0.19496282217450578,64655.476387963914,1.092890430549296,0.7631457223657397
Booligal Wetlands,12817.345483657895,,1990,-0.05896991342838842,0.8208600151133747,57195.66382676024,0.45782298111304365,1.092890430549296
Booligal Wetlands,14571.541048355895,,1991,0.3236632786417146,-0.05896991342838842,40867.59685651251,-0.9322151411513029,0.45782298111304365
Booligal Wetlands,12888.741785729631,,1992,-0.043396624159233885,0.3236632786417146,40834.78528395611,-0.935008450168711,-0.9322151411513029
Booligal Wetlands,19258.731790726324,,1993,1.3460548475677225,-0.043396624159233885,73802.84647145565,1.871622729827769,-0.935008450168711
Booligal Wetlands,16310.186722628741,,1994,0.7029046572051284,1.3460548475677225,49401.38397838918,-0.2057182785213269,1.871622729827769
Booligal Wetlands,6528.417844168345,,1995,-1.430739689741817,0.7029046572051284,47400.37795248534,-0.3760675711813398,-0.2057182785213269
Booligal Wetlands,9231.662048343587,,1996,-0.8410956502719928,-1.430739689741817,54005.45476802504,0.1862346652569565,-0.3760675711813398
Booligal Wetlands,16945.881784129146,,1997,0.8415653832154438,-0.8410956502719928,44074.93873338069,-0.6591682772386662,0.1862346652569565
Booligal Wetlands,13948.350231381728,,1998,0.18773003586860754,0.8415653832154438,50742.843700873396,-0.0915173656310904,-0.6591682772386662
Booligal Wetlands,18894.25737965668,,1999,1.2665540153104833,0.18773003586860754,48522.35647847698,-0.2805514928646501,-0.0915173656310904
Booligal Wetlands,13799.064054283906,,2000,0.15516704937814962,1.2665540153104833,68907.42531594925,1.4548665980031807,-0.2805514928646501
Booligal Wetlands,14278.158359121342,,2001,0.25966929921374,0.15516704937814962,47217.78740052359,-0.3916118379003943,1.4548665980031807
Booligal Wetlands,12018.28992535133,,2002,-0.23326358117508347,0.25966929921374,37194.09303118376,-1.2449472219784674,-0.3916118379003943
Booligal Wetlands,6962.293583856377,,2003,-1.3361007209862497,-0.23326358117508347,41378.398116983146,-0.8887296981868259,-1.2449472219784674
Booligal Wetlands,15489.51689414744,,2004,0.523896385592331,-1.3361007209862497,36363.98730679692,-1.3156156363419138,-0.8887296981868259
