wetlands,water_year,flow_3m,wetland_flow_3m_scaled,wetland_flow_3m_scaled_lagged,flow,wetland_flow_annual_scaled,wetland_flow_annual_scaled_lagged
lake hindmarsh,2022,33051.2832,0.4282341197592833,-0.16209494932559873,180787.16160000002,1.481034101664366,-0.4702398197461425
lake hindmarsh,2023,10296.1152,-0.2968275177209452,0.4282341197592833,130886.23680000001,0.8698411761530749,1.481034101664366
lake hindmarsh,2024,3001.6224,-0.5292563397870244,-0.2968275177209452,9227.1744,-0.620254619891505,0.8698411761530749
lake hindmarsh,2025,476.5824,-0.6097132116986304,-0.5292563397870244,5572.1088,-0.6650223320321761,-0.620254619891505
lake mokoan,2009,471.83040000000005,-1.038828060462089,NA,2888.6976,-0.8435466153461159,NA
lake mokoan,2010,420.336,-1.2277058896370143,-1.038828060462089,2224.9728,-1.389247104748224,-0.8435466153461159
lake mokoan,2011,778.5504000000001,0.08619927774426128,-1.2277058896370143,4276.0224,0.2970824862328545,-1.389247104748224
lake mokoan,2012,653.4432,-0.3726851126001881,0.08619927774426128,2946.1536,-0.796307507632968,0.2970824862328545
lake mokoan,2013,510.45120000000003,-0.8971696885808951,-0.3726851126001881,3641.5872000000004,-0.22453671367337788,-0.796307507632968
lake mokoan,2014,959.1264000000001,0.7485393162939153,-0.8971696885808951,4451.8464,0.4416412594603074,-0.22453671367337788
lake mokoan,2015,1133.568,1.388378808079442,0.7485393162939153,5836.6656,1.5802103097254714,0.4416412594603074
lake mokoan,2016,NA,NA,1.388378808079442,NA,NA,1.5802103097254714
lake mokoan,2017,908.3232,0.5621967599938211,NA,3984.1632000000004,0.057122026300503816,NA
lake mokoan,2018,728.4384,-0.09760800568100184,0.5621967599938211,3030.2208,-0.7271892342421516,0.057122026300503816
lake mokoan,2019,462.5856,-1.0727373351629566,-0.09760800568100184,2408.2272000000003,-1.2385792138315521,-0.7271892342421516
lake mokoan,2020,1035.9360000000001,1.0302715145095338,-1.0727373351629566,4196.5344000000005,0.23172913420865043,-1.2385792138315521
lake mokoan,2021,642.6432000000001,-0.4122987512694256,1.0302715145095338,2802.7296,-0.914227686285337,0.23172913420865043
lake mokoan,2022,579.2256,-0.6449100375351896,-0.4122987512694256,4030.2144000000003,0.09498434872322224,-0.914227686285337
lake mokoan,2023,1405.1232,2.384424138778754,-0.6449100375351896,6694.8768,2.28581340283028,0.09498434872322224
lake mokoan,2024,644.5440000000001,-0.4053267508636398,2.384424138778754,4800.1248000000005,0.7279883920794039,2.28581340283028
lake mokoan,2025,746.6688,-0.030740183607328518,-0.4053267508636398,4421.952,0.4170627161990304,0.7279883920794039
lindsay-walpolla-chowilla,2009,123377.73120000001,-1.0250819634615793,NA,919817.3376000001,-0.8919004691309138,NA
lindsay-walpolla-chowilla,2010,796257.0432000001,-0.5220631271675332,-1.0250819634615793,3022388.3808000004,-0.5450157769533414,-0.8919004691309138
lindsay-walpolla-chowilla,2011,2816338.7232000004,0.9880726695063904,-0.5220631271675332,16624014.9984,1.6989968939239346,-0.5450157769533414
lindsay-walpolla-chowilla,2012,3561410.4192000004,1.545059770749817,0.9880726695063904,11330105.990400001,0.82560143715911,1.6989968939239346
lindsay-walpolla-chowilla,2013,1069132.608,-0.31807179230126453,1.545059770749817,3801931.5168000003,-0.4164058155230024,0.82560143715911
lindsay-walpolla-chowilla,2014,768707.5392,-0.5426580826007272,-0.31807179230126453,2677721.328,-0.6018793606600378,-0.4164058155230024
lindsay-walpolla-chowilla,2015,672187.248,-0.6148129604403753,-0.5426580826007272,2583967.3056,-0.6173470117084118,-0.6018793606600378
lindsay-walpolla-chowilla,2016,2230252.8768,0.5499373082805141,-0.6148129604403753,4977973.152000001,-0.22238105620096688,-0.6173470117084118
lindsay-walpolla-chowilla,2017,614532.0096,-0.6579138113790408,0.5499373082805141,NA,NA,-0.22238105620096688
lindsay-walpolla-chowilla,2018,535800.096,-0.7167707785230617,-0.6579138113790408,2442379.0464000003,-0.6407064125083962,NA
lindsay-walpolla-chowilla,2019,502289.76960000006,-0.7418218167834885,-0.7167707785230617,2394448.9056,-0.6486139846169379,-0.6407064125083962
lindsay-walpolla-chowilla,2020,844873.3728,-0.4857194187132009,-0.7418218167834885,2428534.5696,-0.6429904908935996,-0.6486139846169379
lindsay-walpolla-chowilla,2021,1482588.6624,-0.008987860555989208,-0.4857194187132009,4165644.8448,-0.35639995449290773,-0.6429904908935996
lindsay-walpolla-chowilla,2022,4436451.993600001,2.1992073817906483,-0.008987860555989208,13351345.948800001,1.1590680294315405,-0.35639995449290773
lindsay-walpolla-chowilla,2023,3730198.3488000003,1.6712391708498355,2.1992073817906483,20497014.576,2.337969008861337,1.1590680294315405
lindsay-walpolla-chowilla,2024,552726.9792000001,-0.7041168880890677,1.6712391708498355,3671072.8416000004,-0.43799503668740664,2.337969008861337
lindsay-walpolla-chowilla,2025,671271.1488000001,-0.6154978011618774,-0.7041168880890677,NA,NA,NA
lowbidgee floodplain,2009,40902.623999999996,-1.0127146610237516,NA,235060.44480000003,-1.0065269000959303,NA
lowbidgee floodplain,2010,283564.97280000005,-0.4625393153215459,-1.0127146610237516,661074.2208,-0.6709916706281835,-1.0065269000959303
lowbidgee floodplain,2011,588339.2448000001,0.22845906694886461,-0.4625393153215459,2606562.2016000003,0.8613056231205315,-0.6709916706281835
lowbidgee floodplain,2012,910149.3504,0.9580818822495927,0.22845906694886461,2705607.1872,0.9393150299593507,0.8613056231205315
lowbidgee floodplain,2013,175865.1264,-0.7067214083335561,0.9580818822495927,590920.7903999999,-0.7262456288175864,0.9393150299593507
lowbidgee floodplain,2014,231558.9984,-0.5804496754808064,-0.7067214083335561,NA,NA,-0.7262456288175864
lowbidgee floodplain,2015,290149.4304,-0.447610727288603,-0.5804496754808064,726974.4384000001,-0.6190876105247598,NA
lowbidgee floodplain,2016,1166046.5376,1.5382638681579974,-0.447610727288603,2332178.1792,0.6451964005909122,-0.6190876105247598
lowbidgee floodplain,2017,272582.2368,-0.4874398843856663,1.5382638681579974,NA,NA,0.6451964005909122
lowbidgee floodplain,2018,157335.78240000003,-0.7487319974968433,-0.4874398843856663,417920.7744,-0.8625031945036402,NA
lowbidgee floodplain,2019,129435.5808,-0.811988630165031,-0.7487319974968433,383409.6768,-0.8896846841754666,-0.8625031945036402
lowbidgee floodplain,2020,229297.56480000002,-0.5855769027528378,-0.811988630165031,622800.4896,-0.7011366704010991,-0.8896846841754666
lowbidgee floodplain,2021,1227692.5920000002,1.6780306653493098,-0.5855769027528378,2191364.0640000002,0.534288962574331,-0.7011366704010991
lowbidgee floodplain,2022,1428966.7488000002,2.1343687802071183,1.6780306653493098,4446460.8288,2.3104390616479846,0.534288962574331
lowbidgee floodplain,2023,755386.3872000001,0.6071961053603447,2.1343687802071183,3019180.0896,1.1862900380202435,2.3104390616479846
lowbidgee floodplain,2024,211187.52000000002,-0.626636837298903,0.6071961053603447,1025149.7376000001,-0.38423999977828005,1.1862900380202435
lowbidgee floodplain,2025,190301.616,-0.673990328725683,-0.626636837298903,730362.9600000001,-0.6164187569884075,-0.38423999977828005
lower lakes,2009,92808.4608,-1.047204273111581,NA,493502.6304,-0.9662415081837139,NA
lower lakes,2010,710307.9648000001,-0.5478386651329001,-1.047204273111581,2428870.2336,-0.5330149061074381,-0.9662415081837139
lower lakes,2011,2891368.8288000003,1.2159632121717119,-0.5478386651329001,16048444.377600001,2.515688512496434,-0.5330149061074381
lower lakes,2012,3219360.8544,1.4812070483447413,1.2159632121717119,10745351.6544,1.3286061012952255,2.515688512496434
lower lakes,2013,987186.7008000001,-0.3239296296707297,1.4812070483447413,3438456.1344000003,-0.30702193785452186,1.3286061012952255
lower lakes,2014,772679.8656,-0.49739913933244223,-0.3239296296707297,2278500.7104,-0.5666747015303099,-0.30702193785452186
lower lakes,2015,624646.5984,-0.6171121463835354,-0.49739913933244223,2206563.2928,-0.5827776904082164,-0.5666747015303099
lower lakes,2016,2041000.2432000001,0.5282787314500644,-0.6171121463835354,4227640.3008,-0.1303652788009297,-0.5827776904082164
lower lakes,2017,547340.8896,-0.6796284917814984,0.5282787314500644,5742126.5472,0.20864821369232173,-0.1303652788009297
lower lakes,2018,464006.62080000003,-0.7470200727223809,-0.6796284917814984,1930977.4464,-0.6444668080821825,0.20864821369232173
lower lakes,2019,462542.5728,-0.7482040335432304,-0.7470200727223809,1959402.9600000002,-0.638103836702048,-0.6444668080821825
lower lakes,2020,853471.4688,-0.432063786364223,-0.7482040335432304,1975235.7600000002,-0.6345597088919037,-0.638103836702048
lower lakes,2021,1326058.2144000002,-0.04988766150824223,-0.432063786364223,3578395.3632,-0.27569693453734406,-0.6345597088919037
lower lakes,2022,3868114.9536,2.005847931579636,-0.04988766150824223,11810191.2192,1.5669674470426318,-0.27569693453734406
lower lakes,2023,3609272.5632,1.7965247065155538,2.005847931579636,NA,NA,1.5669674470426318
lower lakes,2024,504669.48480000003,-0.7141364255745212,1.7965247065155538,3286723.0464000003,-0.3409869634280059,NA
lower lakes,2025,616874.5728000001,-0.6233973049364235,-0.7141364255745212,NA,NA,NA
macquarie marshes,2009,15330.297600000002,-1.0095955693111067,NA,54035.5968,-1.064549504483833,NA
macquarie marshes,2010,238365.2448,0.6129290362473782,-1.0095955693111067,424278.17280000006,-0.16284193673912933,-1.064549504483833
macquarie marshes,2011,93552.62400000001,-0.44054730633096745,0.6129290362473782,808667.1072,0.7733183904994169,-0.16284193673912933
macquarie marshes,2012,283609.98720000003,0.9420734539171636,-0.44054730633096745,846418.6368000001,0.8652603824281309,0.7733183904994169
macquarie marshes,2013,75507.12000000001,-0.571823927449221,0.9420734539171636,367388.26560000004,-0.30139450517883765,0.8652603824281309
macquarie marshes,2014,22772.7936,-0.9554532340476463,-0.571823927449221,125503.94880000001,-0.8904918513935997,-0.30139450517883765
macquarie marshes,2015,63685.7856,-0.6578212394190599,-0.9554532340476463,130397.04000000001,-0.8785749686504735,-0.8904918513935997
macquarie marshes,2016,381988.74240000005,1.6577547988369734,-0.6578212394190599,655406.9856,0.4000609089498247,-0.8785749686504735
macquarie marshes,2017,93992.05440000001,-0.4373505578151797,1.6577547988369734,517762.8864000001,0.06483548121824306,0.4000609089498247
macquarie marshes,2018,71164.4832,-0.6034155463836538,-0.4373505578151797,182819.28960000002,-0.7509031603641089,0.06483548121824306
macquarie marshes,2019,854.3232,-1.1149047369922276,-0.6034155463836538,66289.1904,-1.0347064804843777,-0.7509031603641089
macquarie marshes,2020,133205.5584,-0.15208192207482482,-1.1149047369922276,353862.43200000003,-0.3343360070691432,-1.0347064804843777
macquarie marshes,2021,257520.98880000002,0.7522823813978523,-0.15208192207482482,589856.8608,0.24041680686587164,-0.3343360070691432
macquarie marshes,2022,506167.05600000004,2.5611216111782005,0.7522823813978523,1733573.5776,3.0258825683581043,0.24041680686587164
macquarie marshes,2023,135561.4272,-0.13494355365563773,2.5611216111782005,780703.8336,0.7052152142076776,3.0258825683581043
macquarie marshes,2024,142060.3488,-0.08766549101131184,-0.13494355365563773,360913.1904,-0.31716423207690264,0.7052152142076776
macquarie marshes,2025,104548.0608,-0.36055819708673126,-0.08766549101131184,351525.65760000004,-0.3400271060868642,-0.31716423207690264
menindee lakes,2009,42454.7136,-0.5492056540316494,NA,320300.78400000004,-0.7118242519996526,NA
menindee lakes,2010,435875.9904,0.11061932729268852,-0.5492056540316494,3271332.3552,0.7234555883072573,-0.7118242519996526
menindee lakes,2011,NA,NA,0.11061932729268852,NA,NA,0.7234555883072573
menindee lakes,2012,565619.2416000001,0.3282177220625744,NA,4909460.544000001,1.5201845654449155,NA
menindee lakes,2013,78702.71040000001,-0.4884124656048749,0.3282177220625744,1145248.1568,-0.3105983400001691,1.5201845654449155
menindee lakes,2014,7576.675200000001,-0.6077012219965937,-0.4884124656048749,60062.5152,-0.838395158434627,-0.3105983400001691
menindee lakes,2015,40076.380800000006,-0.5531944657403279,-0.6077012219965937,104374.3104,-0.8168434315879682,-0.838395158434627
menindee lakes,2016,451584.288,0.13696443819991116,-0.5531944657403279,1160518.4928000001,-0.3031713759414279,-0.8168434315879682
menindee lakes,2017,31974.220800000003,-0.5667829722241917,0.13696443819991116,1023895.3824000001,-0.36962013846598696,-0.3031713759414279
menindee lakes,2018,3458.8512,-0.6146074146814346,-0.5667829722241917,18824.745600000002,-0.8584517853930547,-0.36962013846598696
menindee lakes,2019,518.832,-0.6195382565756806,-0.6146074146814346,3160.2528,-0.8660704537068371,-0.8584517853930547
menindee lakes,2020,45990.4608,-0.5432756892133167,-0.6195382565756806,719458.0704000001,-0.5176879330687887,-0.8660704537068371
menindee lakes,2021,1066271.3856000002,1.1678845399116842,-0.5432756892133167,2305218.3552,0.25357110412520273,-0.5176879330687887
menindee lakes,2022,2290939.9776000003,3.221832759025652,1.1678845399116842,7324129.728,2.6945962642652845,0.25357110412520273
menindee lakes,2023,89790.07680000001,-0.4698173316880706,3.221832759025652,3364732.4832,0.7688821849281714,2.6945962642652845
menindee lakes,2024,152308.33920000002,-0.36496506834319686,-0.4698173316880706,716277.3408,-0.5192349300975231,0.7688821849281714
menindee lakes,2025,615563.6256,0.4119817536068275,-0.36496506834319686,2094753.1392,0.15120809162520307,-0.5192349300975231
mulwala,2009,21175038.662400004,-1.171535581978224,NA,176819988.0096,-1.6184993231346294,NA
mulwala,2010,34082574.8544,-0.9568650061979652,-1.171535581978224,229441883.04,-1.2140055494154935,-1.6184993231346294
mulwala,2011,126073627.54560001,0.5730762586649273,-0.9568650061979652,551972693.9808,1.2652230071153736,-1.2140055494154935
mulwala,2012,168472522.16640002,1.2782298205301954,0.5730762586649273,447400063.5264,0.46139452667390496,1.2652230071153736
mulwala,2013,108305544.096,0.27756791006146647,1.2782298205301954,421627044.4416,0.26328258593662324,0.46139452667390496
mulwala,2014,50350093.51680001,-0.686313171531181,0.27756791006146647,332079410.1024,-0.4250518140419207,0.26328258593662324
mulwala,2015,84624512.9184,-0.11628111909070017,-0.686313171531181,397961600.25600004,0.08137114356377034,-0.4250518140419207
mulwala,2016,143017577.7696,0.8548781065522523,-0.11628111909070017,497526768.63360006,0.8467082844016358,0.08137114356377034
mulwala,2017,48357961.63200001,-0.7194451412873677,0.8548781065522523,331277459.12640005,-0.4312162476190955,0.8467082844016358
mulwala,2018,73876239.5616,-0.2950401011168707,-0.7194451412873677,354069444.4128,-0.25601890564346075,-0.4312162476190955
mulwala,2019,68739603.7824,-0.3804696163932082,-0.2950401011168707,322353090.11520004,-0.4998160518891046,-0.25601890564346075
mulwala,2020,27594263.520000003,-1.0647747969805397,-0.3804696163932082,218142557.65440002,-1.3008611589115284,-0.4998160518891046
mulwala,2021,96867995.12640001,0.08734530008414808,-1.0647747969805397,378021478.176,-0.07190450764377178,-1.3008611589115284
mulwala,2022,247436629.0272,2.591514558502738,0.08734530008414808,641483281.4688001,1.953272635505254,-0.07190450764377178
