"year","inundated_area","valley_name","valley_surface_water","valley_surface_water_lagged"
2010,188300700,"gwydir",-0.160458034258989,-0.569317466294749
2011,531723600,"gwydir",1.42012461457327,-0.160458034258989
2012,258660000,"gwydir",0.163366290688427,1.42012461457327
2013,174184200,"gwydir",-0.225428352086486,0.163366290688427
2014,113296500,"gwydir",-0.505660224065041,-0.225428352086486
2015,95919300,"gwydir",-0.585637711895026,-0.505660224065041
2016,202105800,"gwydir",-0.09692091566441,-0.585637711895026
2017,113602500,"gwydir",-0.504251877998012,-0.09692091566441
2018,70163100,"gwydir",-0.704179028795714,-0.504251877998012
2019,73275300,"gwydir",-0.689855320855167,-0.704179028795714
2020,137262600,"gwydir",-0.395357731656472,-0.689855320855167
2021,745242300,"gwydir",2.40283122039723,-0.395357731656472
2022,1242762300,"gwydir",4.6926362376137,2.40283122039723
2023,167444100,"gwydir",-0.256449245309956,4.6926362376137
2024,166472100,"gwydir",-0.26092281516993,-0.256449245309956
1987,4141800,"kiewa",-0.794423783451667,NA
1988,4503600,"kiewa",-0.653195353980736,-0.794423783451667
1989,3818700,"kiewa",-0.920545689372225,-0.653195353980736
1990,9238500,"kiewa",1.19507023668237,-0.920545689372225
1991,5092200,"kiewa",-0.423435670214593,1.19507023668237
1992,5673600,"kiewa",-0.196486502457823,-0.423435670214593
1993,7450200,"kiewa",0.497008322854661,-0.196486502457823
1994,4578300,"kiewa",-0.624036250383504,0.497008322854661
1995,5177700,"kiewa",-0.390060792603304,-0.624036250383504
1996,15785100,"kiewa",3.75053191820365,-0.390060792603304
1997,5058900,"kiewa",-0.436434306757938,3.75053191820365
1998,5565600,"kiewa",-0.2386442425984,-0.436434306757938
1999,5633100,"kiewa",-0.212295655010539,-0.2386442425984
2000,6787800,"kiewa",0.238440849992458,-0.212295655010539
2001,4615200,"kiewa",-0.609632355835473,0.238440849992458
2002,4288500,"kiewa",-0.737159519760717,-0.609632355835473
2003,5196600,"kiewa",-0.382683188078703,-0.737159519760717
2004,5127300,"kiewa",-0.409734404668906,-0.382683188078703
2005,6815700,"kiewa",0.249331599528774,-0.409734404668906
2006,4309200,"kiewa",-0.729079286233773,0.249331599528774
2007,4197600,"kiewa",-0.772642284379036,-0.729079286233773
2008,4014000,"kiewa",-0.844310442618016,-0.772642284379036
2009,4238100,"kiewa",-0.75683313182632,-0.844310442618016
2010,8467200,"kiewa",0.893993709178423,-0.75683313182632
2011,5047200,"kiewa",-0.441001395273167,0.893993709178423
2012,3924900,"kiewa",-0.879090578233992,-0.441001395273167
2013,6737400,"kiewa",0.218767237926856,-0.879090578233992
2014,6298200,"kiewa",0.0473257613551778,0.218767237926856
2015,5773500,"kiewa",-0.15749059282779,0.0473257613551778
2016,10212300,"kiewa",1.57519252694991,-0.15749059282779
2017,6031800,"kiewa",-0.0566633309915776,1.57519252694991
2018,4992300,"kiewa",-0.462431579844627,-0.0566633309915776
2019,6100200,"kiewa",-0.0299634289025458,-0.462431579844627
2020,5473800,"kiewa",-0.27447832171789,-0.0299634289025458
2021,8413200,"kiewa",0.872914839108135,-0.27447832171789
