"year","inundated_area","wetland_name","wetland_surface_water","wetland_surface_water_lagged"
1995,1784700,"macquarie marshes",-0.435711557349589,-0.424089555092753
1996,14187600,"macquarie marshes",-0.34866655022923,-0.435711557349589
1997,2168100,"macquarie marshes",-0.433020811174908,-0.34866655022923
1998,206291700,"macquarie marshes",0.999542558313946,-0.433020811174908
1999,8182800,"macquarie marshes",-0.39080894102141,0.999542558313946
2000,27750600,"macquarie marshes",-0.253479825223511,-0.39080894102141
2001,10504800,"macquarie marshes",-0.374512872639542,-0.253479825223511
2002,1069200,"macquarie marshes",-0.440733020281211,-0.374512872639542
2003,3549600,"macquarie marshes",-0.423325282118254,-0.440733020281211
2004,1441800,"macquarie marshes",-0.438118069773423,-0.423325282118254
2005,2687400,"macquarie marshes",-0.429376302858498,-0.438118069773423
2006,935100,"macquarie marshes",-0.441674149811792,-0.429376302858498
2007,6945300,"macquarie marshes",-0.399493861186166,-0.441674149811792
2008,1055700,"macquarie marshes",-0.440827764864827,-0.399493861186166
2009,6768900,"macquarie marshes",-0.400731857078742,-0.440827764864827
2010,261474300,"macquarie marshes",1.38682051830072,-0.400731857078742
2011,14684400,"macquarie marshes",-0.345179949552179,1.38682051830072
2012,38467800,"macquarie marshes",-0.178265258443943,-0.345179949552179
2013,9552600,"macquarie marshes",-0.381195523937223,-0.178265258443943
2014,5593500,"macquarie marshes",-0.408980952158866,-0.381195523937223
2015,6444000,"macquarie marshes",-0.403012043391088,-0.408980952158866
2016,449157600,"macquarie marshes",2.7040039338626,-0.403012043391088
2017,12378600,"macquarie marshes",-0.361362324433709,2.7040039338626
2018,6305400,"macquarie marshes",-0.403984754449541,-0.361362324433709
2019,2604600,"macquarie marshes",-0.42995740297134,-0.403984754449541
2020,26372700,"macquarie marshes",-0.263150089057868,-0.42995740297134
2021,56520000,"macquarie marshes",-0.0515728012332787,-0.263150089057868
2022,673696800,"macquarie marshes",4.27984637900041,-0.0515728012332787
2023,18217800,"macquarie marshes",-0.320382133867212,4.27984637900041
2024,15126300,"macquarie marshes",-0.342078643515165,-0.320382133867212
1987,3226500,"yantabulla",-0.634010712582264,NA
1988,10403100,"yantabulla",-0.560496612464758,-0.634010712582264
1989,187840800,"yantabulla",1.25710125315686,-0.560496612464758
1990,376764300,"yantabulla",3.19235486817646,1.25710125315686
1991,4867200,"yantabulla",-0.617204065414693,3.19235486817646
1992,2386800,"yantabulla",-0.642612249503463,-0.617204065414693
1993,2978100,"yantabulla",-0.63655521868114,-0.642612249503463
1994,27882900,"yantabulla",-0.381440824593901,-0.63655521868114
1995,5460300,"yantabulla",-0.611128596142378,-0.381440824593901
1996,10799100,"yantabulla",-0.556440153466551,-0.611128596142378
1997,95617800,"yantabulla",0.312407267824415,-0.556440153466551
1998,194884200,"yantabulla",1.32925090797497,0.312407267824415
1999,18045900,"yantabulla",-0.482206953799362,1.32925090797497
2000,129587400,"yantabulla",0.66037769607061,-0.482206953799362
2001,2993400,"yantabulla",-0.636398491856209,0.66037769607061
2002,313200,"yantabulla",-0.663853343894074,-0.636398491856209
2003,13697100,"yantabulla",-0.526754248979672,-0.663853343894074
2004,10164600,"yantabulla",-0.562939707088678,-0.526754248979672
2005,730800,"yantabulla",-0.659575623495965,-0.562939707088678
2006,1661400,"yantabulla",-0.650042944850178,-0.659575623495965
2007,332823600,"yantabulla",2.74224464620042,-0.650042944850178
2008,23368500,"yantabulla",-0.427684457173462,2.74224464620042
2009,111057300,"yantabulla",0.470563072629509,-0.427684457173462
2010,265317300,"yantabulla",2.05073823693106,0.470563072629509
2011,89954100,"yantabulla",0.254390684925058,2.05073823693106
2012,108391500,"yantabulla",0.443255728191579,0.254390684925058
2013,2916900,"yantabulla",-0.637182125980863,0.443255728191579
2014,2664900,"yantabulla",-0.639763508979722,-0.637182125980863
2015,3654900,"yantabulla",-0.629622361484204,-0.639763508979722
2016,10405800,"yantabulla",-0.56046895478977,-0.629622361484204
2017,839700,"yantabulla",-0.658460097271458,-0.56046895478977
2018,548100,"yantabulla",-0.661447126170137,-0.658460097271458
2019,31843800,"yantabulla",-0.340867015386835,-0.661447126170137
2020,191509200,"yantabulla",1.29467881424025,-0.340867015386835
2021,30715200,"yantabulla",-0.352427923531725,1.29467881424025
2022,35242200,"yantabulla",-0.306055221802222,-0.352427923531725
2023,2656800,"yantabulla",-0.639846482004685,-0.306055221802222
2024,130343400,"yantabulla",0.668121845067187,-0.639846482004685
1987,59880600,"lake brewster",0.804358272187959,NA
1988,61836300,"lake brewster",0.879029744600783,0.804358272187959
1989,61701300,"lake brewster",0.873875248115775,0.879029744600783
1990,62601300,"lake brewster",0.908238558015832,0.873875248115775
1991,62174700,"lake brewster",0.891950349123205,0.908238558015832
1992,62000100,"lake brewster",0.885283867002594,0.891950349123205
1993,61763400,"lake brewster",0.876246316498879,0.885283867002594
1994,49415400,"lake brewster",0.404781704670094,0.876246316498879
1995,58922100,"lake brewster",0.767761347144398,0.404781704670094
1996,59541300,"lake brewster",0.791403304355638,0.767761347144398
1997,35139600,"lake brewster",-0.140289116964612,0.791403304355638
1998,62696700,"lake brewster",0.911881068865238,-0.140289116964612
1999,62613000,"lake brewster",0.908685281044533,0.911881068865238
2000,61781400,"lake brewster",0.87693358269688,0.908685281044533
2001,33621300,"lake brewster",-0.198260020766009,0.87693358269688
2002,3268800,"lake brewster",-1.35716264714544,-0.198260020766009
2003,88200,"lake brewster",-1.47860258433224,-1.35716264714544
2004,0,"lake brewster",-1.48197018870244,-1.47860258433224
2005,13812300,"lake brewster",-0.954596471666267,-1.48197018870244
2006,4340700,"lake brewster",-1.31623594505447,-0.954596471666267
2007,1800,"lake brewster",-1.48190146208264,-1.31623594505447
2008,900,"lake brewster",-1.48193582539254,-1.48190146208264
2009,14400,"lake brewster",-1.48142037574404,-1.48193582539254
2010,49111200,"lake brewster",0.393166905923875,-1.48142037574404
2011,47224800,"lake brewster",0.321141408373355,0.393166905923875
2012,57650400,"lake brewster",0.719205990255618,0.321141408373355
2013,33314400,"lake brewster",-0.209977909441928,0.719205990255618
2014,113400,"lake brewster",-1.47764041165504,-0.209977909441928
2015,1796400,"lake brewster",-1.41338102214193,-1.47764041165504
2016,62804700,"lake brewster",0.916004666053245,-1.41338102214193
2017,52395300,"lake brewster",0.518558623749184,0.916004666053245
2018,8378100,"lake brewster",-1.16208213684281,0.518558623749184
2019,50400,"lake brewster",-1.48004584334804,-1.16208213684281
2020,46984500,"lake brewster",0.31196640463004,-1.48004584334804
2021,62441100,"lake brewster",0.902121888853622,0.31196640463004
2022,62973900,"lake brewster",0.922464968314456,0.902121888853622
2023,59373900,"lake brewster",0.785011728714227,0.922464968314456
2024,53099100,"lake brewster",0.545430732091029,0.785011728714227
1987,0,"lake albacutya",-0.209469441606749,NA
1988,0,"lake albacutya",-0.209469441606749,-0.209469441606749
1989,0,"lake albacutya",-0.209469441606749,-0.209469441606749
1990,0,"lake albacutya",-0.209469441606749,-0.209469441606749
1991,0,"lake albacutya",-0.209469441606749,-0.209469441606749
1992,4950900,"lake albacutya",1.88992515659009,-0.209469441606749
1993,13803300,"lake albacutya",5.64372360557467,1.88992515659009
1994,0,"lake albacutya",-0.209469441606749,5.64372360557467
1995,0,"lake albacutya",-0.209469441606749,-0.209469441606749
1996,1800,"lake albacutya",-0.208706164166939,-0.209469441606749
1997,0,"lake albacutya",-0.209469441606749,-0.208706164166939
1998,0,"lake albacutya",-0.209469441606749,-0.209469441606749
1999,900,"lake albacutya",-0.209087802886844,-0.209469441606749
2000,0,"lake albacutya",-0.209469441606749,-0.209087802886844
2001,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2002,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2003,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2004,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2005,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2006,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2007,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2008,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2009,900,"lake albacutya",-0.209087802886844,-0.209469441606749
2010,900,"lake albacutya",-0.209087802886844,-0.209087802886844
2011,0,"lake albacutya",-0.209469441606749,-0.209087802886844
2012,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2013,1800,"lake albacutya",-0.208706164166939,-0.209469441606749
2014,0,"lake albacutya",-0.209469441606749,-0.208706164166939
2015,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2016,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2017,900,"lake albacutya",-0.209087802886844,-0.209469441606749
2018,0,"lake albacutya",-0.209469441606749,-0.209087802886844
2019,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2020,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2021,0,"lake albacutya",-0.209469441606749,-0.209469441606749
2022,9000,"lake albacutya",-0.2056530544077,-0.209469441606749
2023,900,"lake albacutya",-0.209087802886844,-0.2056530544077
2024,0,"lake albacutya",-0.209469441606749,-0.209087802886844
1987,4057200,"lake buloke",-0.66855297473124,NA
