"","water_year","flow","wetlands","river","location"
"1",1987,NA,"lake albacutya","wimmera","lochiel"
"2",1987,NA,"lake hindmarsh","wimmera","lochiel"
"3",1988,3331.795,"lake albacutya","wimmera","lochiel"
"4",1988,3331.795,"lake hindmarsh","wimmera","lochiel"
"5",1989,1521.204,"lake albacutya","wimmera","lochiel"
"6",1989,1521.204,"lake hindmarsh","wimmera","lochiel"
"7",1990,134.204,"lake albacutya","wimmera","lochiel"
"8",1990,134.204,"lake hindmarsh","wimmera","lochiel"
"9",1991,1009.612,"lake albacutya","wimmera","lochiel"
"10",1991,1009.612,"lake hindmarsh","wimmera","lochiel"
"11",1992,3321.815,"lake albacutya","wimmera","lochiel"
"12",1992,3321.815,"lake hindmarsh","wimmera","lochiel"
"13",1993,1947.544,"lake albacutya","wimmera","lochiel"
"14",1993,1947.544,"lake hindmarsh","wimmera","lochiel"
"15",1994,170.509,"lake albacutya","wimmera","lochiel"
"16",1994,170.509,"lake hindmarsh","wimmera","lochiel"
"17",1995,1408.494,"lake albacutya","wimmera","lochiel"
"18",1995,1408.494,"lake hindmarsh","wimmera","lochiel"
"19",1996,2708.468,"lake albacutya","wimmera","lochiel"
"20",1996,2708.468,"lake hindmarsh","wimmera","lochiel"
"21",1997,91.767,"lake albacutya","wimmera","lochiel"
"22",1997,91.767,"lake hindmarsh","wimmera","lochiel"
"23",1998,161.679,"lake albacutya","wimmera","lochiel"
"24",1998,161.679,"lake hindmarsh","wimmera","lochiel"
"25",1999,110.922,"lake albacutya","wimmera","lochiel"
"26",1999,110.922,"lake hindmarsh","wimmera","lochiel"
"27",2000,23.329,"lake albacutya","wimmera","lochiel"
"28",2000,23.329,"lake hindmarsh","wimmera","lochiel"
"29",2001,7.938,"lake albacutya","wimmera","lochiel"
"30",2001,7.938,"lake hindmarsh","wimmera","lochiel"
"31",2002,66.147,"lake albacutya","wimmera","lochiel"
"32",2002,66.147,"lake hindmarsh","wimmera","lochiel"
"33",2003,2.416,"lake albacutya","wimmera","lochiel"
"34",2003,2.416,"lake hindmarsh","wimmera","lochiel"
"35",2004,17.994,"lake albacutya","wimmera","lochiel"
"36",2004,17.994,"lake hindmarsh","wimmera","lochiel"
"37",2005,13.954,"lake albacutya","wimmera","lochiel"
"38",2005,13.954,"lake hindmarsh","wimmera","lochiel"
"39",2006,0,"lake albacutya","wimmera","lochiel"
"40",2006,0,"lake hindmarsh","wimmera","lochiel"
"41",2007,0,"lake albacutya","wimmera","lochiel"
"42",2007,0,"lake hindmarsh","wimmera","lochiel"
"43",2008,0,"lake albacutya","wimmera","lochiel"
"44",2008,0,"lake hindmarsh","wimmera","lochiel"
"45",2009,108.364,"lake albacutya","wimmera","lochiel"
"46",2009,108.364,"lake hindmarsh","wimmera","lochiel"
"47",2010,1393.399,"lake albacutya","wimmera","lochiel"
"48",2010,1393.399,"lake hindmarsh","wimmera","lochiel"
"49",2011,3335.55,"lake albacutya","wimmera","lochiel"
"50",2011,3335.55,"lake hindmarsh","wimmera","lochiel"
"51",2012,377.683,"lake albacutya","wimmera","lochiel"
"52",2012,377.683,"lake hindmarsh","wimmera","lochiel"
"53",2013,180.321,"lake albacutya","wimmera","lochiel"
"54",2013,180.321,"lake hindmarsh","wimmera","lochiel"
"55",2014,159.665,"lake albacutya","wimmera","lochiel"
"56",2014,159.665,"lake hindmarsh","wimmera","lochiel"
"57",2015,67.947,"lake albacutya","wimmera","lochiel"
"58",2015,67.947,"lake hindmarsh","wimmera","lochiel"
"59",2016,1514.578,"lake albacutya","wimmera","lochiel"
"60",2016,1514.578,"lake hindmarsh","wimmera","lochiel"
"61",2017,280.383,"lake albacutya","wimmera","lochiel"
"62",2017,280.383,"lake hindmarsh","wimmera","lochiel"
"63",2018,103.815,"lake albacutya","wimmera","lochiel"
"64",2018,103.815,"lake hindmarsh","wimmera","lochiel"
"65",2019,163.744,"lake albacutya","wimmera","lochiel"
"66",2019,163.744,"lake hindmarsh","wimmera","lochiel"
"67",2020,66.949,"lake albacutya","wimmera","lochiel"
"68",2020,66.949,"lake hindmarsh","wimmera","lochiel"
"69",2021,248.555,"lake albacutya","wimmera","lochiel"
"70",2021,248.555,"lake hindmarsh","wimmera","lochiel"
"71",2022,2092.444,"lake albacutya","wimmera","lochiel"
"72",2022,2092.444,"lake hindmarsh","wimmera","lochiel"
"73",2023,1514.887,"lake albacutya","wimmera","lochiel"
"74",2023,1514.887,"lake hindmarsh","wimmera","lochiel"
"75",2024,106.796,"lake albacutya","wimmera","lochiel"
"76",2024,106.796,"lake hindmarsh","wimmera","lochiel"
"77",2025,64.492,"lake albacutya","wimmera","lochiel"
"78",2025,64.492,"lake hindmarsh","wimmera","lochiel"
"79",2026,10.314,"lake albacutya","wimmera","lochiel"
"80",2026,10.314,"lake hindmarsh","wimmera","lochiel"
"81",1982,NA,"banrock station wetland complex","murray","lock5"
"82",1982,NA,"noora evaporation basin","murray","lock5"
"83",1982,NA,"pyap lagoon","murray","lock5"
"84",1983,9794.346,"banrock station wetland complex","murray","lock5"
"85",1983,9794.346,"noora evaporation basin","murray","lock5"
"86",1983,9794.346,"pyap lagoon","murray","lock5"
"87",1984,40206.44,"banrock station wetland complex","murray","lock5"
"88",1984,40206.44,"noora evaporation basin","murray","lock5"
"89",1984,40206.44,"pyap lagoon","murray","lock5"
"90",1985,NA,"banrock station wetland complex","murray","lock5"
"91",1985,NA,"noora evaporation basin","murray","lock5"
"92",1985,NA,"pyap lagoon","murray","lock5"
"93",1986,13205.775,"banrock station wetland complex","murray","lock5"
"94",1986,13205.775,"noora evaporation basin","murray","lock5"
"95",1986,13205.775,"pyap lagoon","murray","lock5"
"96",1987,14562.713,"banrock station wetland complex","murray","lock5"
"97",1987,14562.713,"noora evaporation basin","murray","lock5"
"98",1987,14562.713,"pyap lagoon","murray","lock5"
"99",1988,NA,"banrock station wetland complex","murray","lock5"
"100",1988,NA,"noora evaporation basin","murray","lock5"
"101",1988,NA,"pyap lagoon","murray","lock5"
"102",1989,20302.988,"banrock station wetland complex","murray","lock5"
"103",1989,20302.988,"noora evaporation basin","murray","lock5"
"104",1989,20302.988,"pyap lagoon","murray","lock5"
"105",1990,25670.758,"banrock station wetland complex","murray","lock5"
"106",1990,25670.758,"noora evaporation basin","murray","lock5"
"107",1990,25670.758,"pyap lagoon","murray","lock5"
"108",1991,23595.418,"banrock station wetland complex","murray","lock5"
"109",1991,23595.418,"noora evaporation basin","murray","lock5"
"110",1991,23595.418,"pyap lagoon","murray","lock5"
"111",1992,15032.073,"banrock station wetland complex","murray","lock5"
"112",1992,15032.073,"noora evaporation basin","murray","lock5"
"113",1992,15032.073,"pyap lagoon","murray","lock5"
"114",1993,17235.142,"banrock station wetland complex","murray","lock5"
"115",1993,17235.142,"noora evaporation basin","murray","lock5"
"116",1993,17235.142,"pyap lagoon","murray","lock5"
"117",1994,30470.966,"banrock station wetland complex","murray","lock5"
"118",1994,30470.966,"noora evaporation basin","murray","lock5"
"119",1994,30470.966,"pyap lagoon","murray","lock5"
"120",1995,44725.896,"banrock station wetland complex","murray","lock5"
"121",1995,44725.896,"noora evaporation basin","murray","lock5"
"122",1995,44725.896,"pyap lagoon","murray","lock5"
"123",1996,74848.783,"banrock station wetland complex","murray","lock5"
"124",1996,74848.783,"noora evaporation basin","murray","lock5"
"125",1996,74848.783,"pyap lagoon","murray","lock5"
"126",1997,53358.387,"banrock station wetland complex","murray","lock5"
"127",1997,53358.387,"noora evaporation basin","murray","lock5"
"128",1997,53358.387,"pyap lagoon","murray","lock5"
"129",1998,30839.01,"banrock station wetland complex","murray","lock5"
"130",1998,30839.01,"noora evaporation basin","murray","lock5"
"131",1998,30839.01,"pyap lagoon","murray","lock5"
"132",1999,45044.718,"banrock station wetland complex","murray","lock5"
"133",1999,45044.718,"noora evaporation basin","murray","lock5"
"134",1999,45044.718,"pyap lagoon","murray","lock5"
"135",2000,43530.326,"banrock station wetland complex","murray","lock5"
"136",2000,43530.326,"noora evaporation basin","murray","lock5"
"137",2000,43530.326,"pyap lagoon","murray","lock5"
"138",2001,39632.128,"banrock station wetland complex","murray","lock5"
"139",2001,39632.128,"noora evaporation basin","murray","lock5"
"140",2001,39632.128,"pyap lagoon","murray","lock5"
"141",2002,17013.232,"banrock station wetland complex","murray","lock5"
"142",2002,17013.232,"noora evaporation basin","murray","lock5"
"143",2002,17013.232,"pyap lagoon","murray","lock5"
"144",2003,19032.471,"banrock station wetland complex","murray","lock5"
"145",2003,19032.471,"noora evaporation basin","murray","lock5"
"146",2003,19032.471,"pyap lagoon","murray","lock5"
"147",2004,17257.956,"banrock station wetland complex","murray","lock5"
"148",2004,17257.956,"noora evaporation basin","murray","lock5"
"149",2004,17257.956,"pyap lagoon","murray","lock5"
"150",2005,20422.301,"banrock station wetland complex","murray","lock5"
"151",2005,20422.301,"noora evaporation basin","murray","lock5"
"152",2005,20422.301,"pyap lagoon","murray","lock5"
"153",2006,20811.007,"banrock station wetland complex","murray","lock5"
"154",2006,20811.007,"noora evaporation basin","murray","lock5"
"155",2006,20811.007,"pyap lagoon","murray","lock5"
"156",2007,8906.209,"banrock station wetland complex","murray","lock5"
"157",2007,8906.209,"noora evaporation basin","murray","lock5"
"158",2007,8906.209,"pyap lagoon","murray","lock5"
"159",2008,7582.998,"banrock station wetland complex","murray","lock5"
"160",2008,7582.998,"noora evaporation basin","murray","lock5"
"161",2008,7582.998,"pyap lagoon","murray","lock5"
"162",2009,8635.877,"banrock station wetland complex","murray","lock5"
"163",2009,8635.877,"noora evaporation basin","murray","lock5"
"164",2009,8635.877,"pyap lagoon","murray","lock5"
"165",2010,34787.302,"banrock station wetland complex","murray","lock5"
"166",2010,34787.302,"noora evaporation basin","murray","lock5"
"167",2010,34787.302,"pyap lagoon","murray","lock5"
"168",2011,169763.339,"banrock station wetland complex","murray","lock5"
"169",2011,169763.339,"noora evaporation basin","murray","lock5"
"170",2011,169763.339,"pyap lagoon","murray","lock5"
"171",2012,109691.875,"banrock station wetland complex","murray","lock5"
"172",2012,109691.875,"noora evaporation basin","murray","lock5"
"173",2012,109691.875,"pyap lagoon","murray","lock5"
"174",2013,46863.896,"banrock station wetland complex","murray","lock5"
"175",2013,46863.896,"noora evaporation basin","murray","lock5"
"176",2013,46863.896,"pyap lagoon","murray","lock5"
"177",2014,30933.836,"banrock station wetland complex","murray","lock5"
"178",2014,30933.836,"noora evaporation basin","murray","lock5"
"179",2014,30933.836,"pyap lagoon","murray","lock5"
"180",2015,30419.449,"banrock station wetland complex","murray","lock5"
"181",2015,30419.449,"noora evaporation basin","murray","lock5"
"182",2015,30419.449,"pyap lagoon","murray","lock5"
"183",2016,55970.266,"banrock station wetland complex","murray","lock5"
"184",2016,55970.266,"noora evaporation basin","murray","lock5"
"185",2016,55970.266,"pyap lagoon","murray","lock5"
"186",2017,50402.839,"banrock station wetland complex","murray","lock5"
"187",2017,50402.839,"noora evaporation basin","murray","lock5"
"188",2017,50402.839,"pyap lagoon","murray","lock5"
"189",2018,25321.021,"banrock station wetland complex","murray","lock5"
"190",2018,25321.021,"noora evaporation basin","murray","lock5"
"191",2018,25321.021,"pyap lagoon","murray","lock5"
"192",2019,25627.724,"banrock station wetland complex","murray","lock5"
"193",2019,25627.724,"noora evaporation basin","murray","lock5"
"194",2019,25627.724,"pyap lagoon","murray","lock5"
"195",2020,23846.892,"banrock station wetland complex","murray","lock5"
"196",2020,23846.892,"noora evaporation basin","murray","lock5"
"197",2020,23846.892,"pyap lagoon","murray","lock5"
"198",2021,42816.627,"banrock station wetland complex","murray","lock5"
"199",2021,42816.627,"noora evaporation basin","murray","lock5"
"200",2021,42816.627,"pyap lagoon","murray","lock5"
"201",2022,123926.614,"banrock station wetland complex","murray","lock5"
"202",2022,123926.614,"noora evaporation basin","murray","lock5"
"203",2022,123926.614,"pyap lagoon","murray","lock5"
"204",2023,83844.573,"banrock station wetland complex","murray","lock5"
"205",2023,83844.573,"noora evaporation basin","murray","lock5"
"206",2023,83844.573,"pyap lagoon","murray","lock5"
"207",2024,35861.035,"banrock station wetland complex","murray","lock5"
"208",2024,35861.035,"noora evaporation basin","murray","lock5"
"209",2024,35861.035,"pyap lagoon","murray","lock5"
"210",2025,25224.885,"banrock station wetland complex","murray","lock5"
"211",2025,25224.885,"noora evaporation basin","murray","lock5"
"212",2025,25224.885,"pyap lagoon","murray","lock5"
"213",2026,790.949,"banrock station wetland complex","murray","lock5"
"214",2026,790.949,"noora evaporation basin","murray","lock5"
"215",2026,790.949,"pyap lagoon","murray","lock5"
"216",1975,NA,"barmah-millewa","murray","tocumwal"
"217",1976,58655.295,"barmah-millewa","murray","tocumwal"
"218",1977,28874.238,"barmah-millewa","murray","tocumwal"
"219",1978,45167.725,"barmah-millewa","murray","tocumwal"
"220",1979,47075.586,"barmah-millewa","murray","tocumwal"
"221",1980,32217.512,"barmah-millewa","murray","tocumwal"
"222",1981,95365.653,"barmah-millewa","murray","tocumwal"
"223",1982,35691.676,"barmah-millewa","murray","tocumwal"
"224",1983,49487.201,"barmah-millewa","murray","tocumwal"
"225",1984,54609.294,"barmah-millewa","murray","tocumwal"
"226",1985,38076.924,"barmah-millewa","murray","tocumwal"
"227",1986,55357.059,"barmah-millewa","murray","tocumwal"
"228",1987,49507.499,"barmah-millewa","murray","tocumwal"
"229",1988,42854.445,"barmah-millewa","murray","tocumwal"
"230",1989,70089.414,"barmah-millewa","murray","tocumwal"
"231",1990,98898.385,"barmah-millewa","murray","tocumwal"
"232",1991,59557.127,"barmah-millewa","murray","tocumwal"
"233",1992,76531.306,"barmah-millewa","murray","tocumwal"
"234",1993,118597.226,"barmah-millewa","murray","tocumwal"
"235",1994,51445.973,"barmah-millewa","murray","tocumwal"
"236",1995,61085.851,"barmah-millewa","murray","tocumwal"
"237",1996,93823.572,"barmah-millewa","murray","tocumwal"
"238",1997,40185.929,"barmah-millewa","murray","tocumwal"
"239",1998,38400.388,"barmah-millewa","murray","tocumwal"
"240",1999,36812.76,"barmah-millewa","murray","tocumwal"
"241",2000,57567.65,"barmah-millewa","murray","tocumwal"
"242",2001,45318.469,"barmah-millewa","murray","tocumwal"
"243",2002,38431.705,"barmah-millewa","murray","tocumwal"
"244",2003,40314.658,"barmah-millewa","murray","tocumwal"
"245",2004,41165.97,"barmah-millewa","murray","tocumwal"
"246",2005,42178.439,"barmah-millewa","murray","tocumwal"
"247",2006,39326.093,"barmah-millewa","murray","tocumwal"
"248",2007,23578.615,"barmah-millewa","murray","tocumwal"
"249",2008,20172.502,"barmah-millewa","murray","tocumwal"
"250",2009,25945.38,"barmah-millewa","murray","tocumwal"
"251",2010,43946.901,"barmah-millewa","murray","tocumwal"
"252",2011,94837.139,"barmah-millewa","murray","tocumwal"
"253",2012,66121.972,"barmah-millewa","murray","tocumwal"
"254",2013,49923.456,"barmah-millewa","murray","tocumwal"
"255",2014,39124.99,"barmah-millewa","murray","tocumwal"
"256",2015,42931.264,"barmah-millewa","murray","tocumwal"
"257",2016,90341.866,"barmah-millewa","murray","tocumwal"
"258",2017,39282.064,"barmah-millewa","murray","tocumwal"
"259",2018,40434.783,"barmah-millewa","murray","tocumwal"
"260",2019,42888.961,"barmah-millewa","murray","tocumwal"
"261",2020,34320.642,"barmah-millewa","murray","tocumwal"
"262",2021,55200.459,"barmah-millewa","murray","tocumwal"
"263",2022,101723.299,"barmah-millewa","murray","tocumwal"
"264",2023,102514.737,"barmah-millewa","murray","tocumwal"
"265",2024,33428.816,"barmah-millewa","murray","tocumwal"
"266",2025,33074.614,"barmah-millewa","murray","tocumwal"
"267",2026,4887.752,"barmah-millewa","murray","tocumwal"
"268",1902,NA,"booligal wetlands","lachlan","booligal"
"269",1903,NA,"booligal wetlands","lachlan","booligal"
"270",1904,NA,"booligal wetlands","lachlan","booligal"
"271",1905,NA,"booligal wetlands","lachlan","booligal"
"272",1906,NA,"booligal wetlands","lachlan","booligal"
"273",1907,NA,"booligal wetlands","lachlan","booligal"
"274",1908,NA,"booligal wetlands","lachlan","booligal"
"275",1909,NA,"booligal wetlands","lachlan","booligal"
"276",1910,26.063,"booligal wetlands","lachlan","booligal"
"277",1911,44.261,"booligal wetlands","lachlan","booligal"
"278",1912,93.448,"booligal wetlands","lachlan","booligal"
"279",1913,37.777,"booligal wetlands","lachlan","booligal"
"280",1914,12.05,"booligal wetlands","lachlan","booligal"
"281",1915,106.83,"booligal wetlands","lachlan","booligal"
"282",1916,231.708,"booligal wetlands","lachlan","booligal"
"283",1917,292.63,"booligal wetlands","lachlan","booligal"
"284",1918,118.309,"booligal wetlands","lachlan","booligal"
"285",1919,7.127,"booligal wetlands","lachlan","booligal"
"286",1920,110.602,"booligal wetlands","lachlan","booligal"
"287",1921,388.153,"booligal wetlands","lachlan","booligal"
"288",1922,NA,"booligal wetlands","lachlan","booligal"
"289",1923,NA,"booligal wetlands","lachlan","booligal"
"290",1924,NA,"booligal wetlands","lachlan","booligal"
"291",1925,NA,"booligal wetlands","lachlan","booligal"
"292",1926,240.892,"booligal wetlands","lachlan","booligal"
"293",1927,13.238,"booligal wetlands","lachlan","booligal"
"294",1928,177.05,"booligal wetlands","lachlan","booligal"
"295",1929,17.735,"booligal wetlands","lachlan","booligal"
"296",1930,56.314,"booligal wetlands","lachlan","booligal"
"297",1931,280.661,"booligal wetlands","lachlan","booligal"
"298",1932,82.776,"booligal wetlands","lachlan","booligal"
"299",1933,22.381,"booligal wetlands","lachlan","booligal"
"300",1934,75.361,"booligal wetlands","lachlan","booligal"
"301",1935,58.168,"booligal wetlands","lachlan","booligal"
"302",1936,75.799,"booligal wetlands","lachlan","booligal"
"303",1937,14.904,"booligal wetlands","lachlan","booligal"
"304",1938,20.154,"booligal wetlands","lachlan","booligal"
"305",1939,71.826,"booligal wetlands","lachlan","booligal"
"306",1940,16.143,"booligal wetlands","lachlan","booligal"
"307",1941,18.288,"booligal wetlands","lachlan","booligal"
"308",1942,88.07,"booligal wetlands","lachlan","booligal"
"309",1943,172.173,"booligal wetlands","lachlan","booligal"
"310",1944,21.147,"booligal wetlands","lachlan","booligal"
"311",1945,NA,"booligal wetlands","lachlan","booligal"
"312",1946,NA,"booligal wetlands","lachlan","booligal"
"313",1947,NA,"booligal wetlands","lachlan","booligal"
"314",1948,NA,"booligal wetlands","lachlan","booligal"
"315",1949,54.374,"booligal wetlands","lachlan","booligal"
"316",1950,404.774,"booligal wetlands","lachlan","booligal"
"317",1951,293.158,"booligal wetlands","lachlan","booligal"
"318",1952,324.493,"booligal wetlands","lachlan","booligal"
"319",1953,123.711,"booligal wetlands","lachlan","booligal"
"320",1954,24.908,"booligal wetlands","lachlan","booligal"
"321",1955,172.073,"booligal wetlands","lachlan","booligal"
"322",1956,529.794,"booligal wetlands","lachlan","booligal"
"323",1957,103.853,"booligal wetlands","lachlan","booligal"
"324",1958,63.959,"booligal wetlands","lachlan","booligal"
"325",1959,205.742,"booligal wetlands","lachlan","booligal"
"326",1960,172.215,"booligal wetlands","lachlan","booligal"
"327",1961,133.252,"booligal wetlands","lachlan","booligal"
"328",1962,173.298,"booligal wetlands","lachlan","booligal"
"329",1963,212.482,"booligal wetlands","lachlan","booligal"
"330",1964,142.845,"booligal wetlands","lachlan","booligal"
"331",1965,29.512,"booligal wetlands","lachlan","booligal"
"332",1966,8.02,"booligal wetlands","lachlan","booligal"
"333",1967,37.18,"booligal wetlands","lachlan","booligal"
"334",1968,25.154,"booligal wetlands","lachlan","booligal"
"335",1969,233.876,"booligal wetlands","lachlan","booligal"
"336",1970,102.477,"booligal wetlands","lachlan","booligal"
"337",1971,52.969,"booligal wetlands","lachlan","booligal"
"338",1972,43.365,"booligal wetlands","lachlan","booligal"
"339",1973,35.906,"booligal wetlands","lachlan","booligal"
"340",1974,360.05,"booligal wetlands","lachlan","booligal"
"341",1975,162.592,"booligal wetlands","lachlan","booligal"
"342",1976,181.307,"booligal wetlands","lachlan","booligal"
"343",1977,82.538,"booligal wetlands","lachlan","booligal"
"344",1978,228.687,"booligal wetlands","lachlan","booligal"
"345",1979,56.113,"booligal wetlands","lachlan","booligal"
"346",1980,21.332,"booligal wetlands","lachlan","booligal"
"347",1981,23.787,"booligal wetlands","lachlan","booligal"
"348",1982,21.77,"booligal wetlands","lachlan","booligal"
"349",1983,10.022,"booligal wetlands","lachlan","booligal"
"350",1984,159.074,"booligal wetlands","lachlan","booligal"
"351",1985,37.856,"booligal wetlands","lachlan","booligal"
"352",1986,41.663,"booligal wetlands","lachlan","booligal"
"353",1987,44.216,"booligal wetlands","lachlan","booligal"
"354",1988,56.851,"booligal wetlands","lachlan","booligal"
"355",1989,250.974,"booligal wetlands","lachlan","booligal"
"356",1990,318.471,"booligal wetlands","lachlan","booligal"
"357",1991,71.173,"booligal wetlands","lachlan","booligal"
"358",1992,89.79,"booligal wetlands","lachlan","booligal"
"359",1993,195.708,"booligal wetlands","lachlan","booligal"
"360",1994,62.839,"booligal wetlands","lachlan","booligal"
"361",1995,38.495,"booligal wetlands","lachlan","booligal"
"362",1996,73.473,"booligal wetlands","lachlan","booligal"
"363",1997,37.299,"booligal wetlands","lachlan","booligal"
"364",1998,157.325,"booligal wetlands","lachlan","booligal"
"365",1999,43.362,"booligal wetlands","lachlan","booligal"
"366",2000,89.88,"booligal wetlands","lachlan","booligal"
"367",2001,54.583,"booligal wetlands","lachlan","booligal"
"368",2002,20.078,"booligal wetlands","lachlan","booligal"
"369",2003,8.721,"booligal wetlands","lachlan","booligal"
"370",2004,6.288,"booligal wetlands","lachlan","booligal"
"371",2005,9.163,"booligal wetlands","lachlan","booligal"
"372",2006,10.275,"booligal wetlands","lachlan","booligal"
"373",2007,6.015,"booligal wetlands","lachlan","booligal"
"374",2008,7.613,"booligal wetlands","lachlan","booligal"
"375",2009,5.243,"booligal wetlands","lachlan","booligal"
"376",2010,32.861,"booligal wetlands","lachlan","booligal"
"377",2011,52.811,"booligal wetlands","lachlan","booligal"
"378",2012,190.401,"booligal wetlands","lachlan","booligal"
"379",2013,39.254,"booligal wetlands","lachlan","booligal"
"380",2014,12.293,"booligal wetlands","lachlan","booligal"
"381",2015,28.42,"booligal wetlands","lachlan","booligal"
"382",2016,155.191,"booligal wetlands","lachlan","booligal"
"383",2017,54.329,"booligal wetlands","lachlan","booligal"
"384",2018,18.136,"booligal wetlands","lachlan","booligal"
"385",2019,16.307,"booligal wetlands","lachlan","booligal"
"386",2020,43.625,"booligal wetlands","lachlan","booligal"
"387",2021,129.13,"booligal wetlands","lachlan","booligal"
"388",2022,427.651,"booligal wetlands","lachlan","booligal"
"389",2023,233.826,"booligal wetlands","lachlan","booligal"
"390",2024,130.211,"booligal wetlands","lachlan","booligal"
"391",2025,37.433,"booligal wetlands","lachlan","booligal"
"392",2026,3.455,"booligal wetlands","lachlan","booligal"
"393",1970,NA,"lake brewster","lachlan","cargelligo"
"394",1971,4281.466,"lake brewster","lachlan","cargelligo"
"395",1972,3173.298,"lake brewster","lachlan","cargelligo"
"396",1973,6071.992,"lake brewster","lachlan","cargelligo"
"397",1974,24086.148,"lake brewster","lachlan","cargelligo"
"398",1975,10975.613,"lake brewster","lachlan","cargelligo"
"399",1976,6218.767,"lake brewster","lachlan","cargelligo"
"400",1977,7531.519,"lake brewster","lachlan","cargelligo"
"401",1978,17934.045,"lake brewster","lachlan","cargelligo"
"402",1979,3977.76,"lake brewster","lachlan","cargelligo"
"403",1980,2111.747,"lake brewster","lachlan","cargelligo"
"404",1981,3666.476,"lake brewster","lachlan","cargelligo"
"405",1982,1398.252,"lake brewster","lachlan","cargelligo"
"406",1983,1788.807,"lake brewster","lachlan","cargelligo"
"407",1984,13483.79,"lake brewster","lachlan","cargelligo"
"408",1985,4019.093,"lake brewster","lachlan","cargelligo"
"409",1986,5729.126,"lake brewster","lachlan","cargelligo"
"410",1987,4630.894,"lake brewster","lachlan","cargelligo"
"411",1988,5972.353,"lake brewster","lachlan","cargelligo"
"412",1989,15829.555,"lake brewster","lachlan","cargelligo"
"413",1990,23942.153,"lake brewster","lachlan","cargelligo"
"414",1991,7345.769,"lake brewster","lachlan","cargelligo"
"415",1992,8008.573,"lake brewster","lachlan","cargelligo"
"416",1993,15158.887,"lake brewster","lachlan","cargelligo"
"417",1994,5646.518,"lake brewster","lachlan","cargelligo"
"418",1995,5521.608,"lake brewster","lachlan","cargelligo"
"419",1996,7760.257,"lake brewster","lachlan","cargelligo"
"420",1997,4617.014,"lake brewster","lachlan","cargelligo"
"421",1998,8654.68,"lake brewster","lachlan","cargelligo"
"422",1999,3920.289,"lake brewster","lachlan","cargelligo"
"423",2000,7938.835,"lake brewster","lachlan","cargelligo"
"424",2001,NA,"lake brewster","lachlan","cargelligo"
"425",2002,2858.595,"lake brewster","lachlan","cargelligo"
"426",2003,800.325,"lake brewster","lachlan","cargelligo"
"427",2004,809.097,"lake brewster","lachlan","cargelligo"
"428",2005,1433.947,"lake brewster","lachlan","cargelligo"
"429",2006,1739.339,"lake brewster","lachlan","cargelligo"
"430",2007,864.141,"lake brewster","lachlan","cargelligo"
"431",2008,603.531,"lake brewster","lachlan","cargelligo"
"432",2009,633.284,"lake brewster","lachlan","cargelligo"
"433",2010,2894.463,"lake brewster","lachlan","cargelligo"
"434",2011,4628.66,"lake brewster","lachlan","cargelligo"
"435",2012,11823.118,"lake brewster","lachlan","cargelligo"
"436",2015,1755.552,"lake brewster","lachlan","cargelligo"
"437",2016,13446.554,"lake brewster","lachlan","cargelligo"
"438",2017,4861.659,"lake brewster","lachlan","cargelligo"
"439",2018,1894.188,"lake brewster","lachlan","cargelligo"
"440",2019,1654.857,"lake brewster","lachlan","cargelligo"
"441",2020,3776.781,"lake brewster","lachlan","cargelligo"
"442",2021,11075.879,"lake brewster","lachlan","cargelligo"
"443",2022,28700.586,"lake brewster","lachlan","cargelligo"
"444",2023,17082.067,"lake brewster","lachlan","cargelligo"
"445",2024,6869.838,"lake brewster","lachlan","cargelligo"
"446",2025,2829.787,"lake brewster","lachlan","cargelligo"
"447",2026,260.85,"lake brewster","lachlan","cargelligo"
"448",1989,NA,"lake buloke","richardson","donald"
"449",1990,39.87,"lake buloke","richardson","donald"
"450",1991,337.472,"lake buloke","richardson","donald"
"451",1992,1155.39,"lake buloke","richardson","donald"
"452",1993,733.029,"lake buloke","richardson","donald"
"453",1994,26.427,"lake buloke","richardson","donald"
"454",1995,799.386,"lake buloke","richardson","donald"
"455",1996,974.331,"lake buloke","richardson","donald"
"456",1997,21.904,"lake buloke","richardson","donald"
"457",1998,4.204,"lake buloke","richardson","donald"
"458",1999,47.485,"lake buloke","richardson","donald"
"459",2000,0.425,"lake buloke","richardson","donald"
"460",2001,0.431,"lake buloke","richardson","donald"
"461",2002,0.013,"lake buloke","richardson","donald"
"462",2003,0,"lake buloke","richardson","donald"
"463",2004,0,"lake buloke","richardson","donald"
"464",2005,0.448,"lake buloke","richardson","donald"
"465",2006,0.035,"lake buloke","richardson","donald"
"466",2007,0,"lake buloke","richardson","donald"
"467",2008,2.25,"lake buloke","richardson","donald"
"468",2009,0,"lake buloke","richardson","donald"
"469",2010,507.037,"lake buloke","richardson","donald"
"470",2011,579.736,"lake buloke","richardson","donald"
"471",2012,0.819,"lake buloke","richardson","donald"
"472",2013,0.151,"lake buloke","richardson","donald"
"473",2014,0,"lake buloke","richardson","donald"
"474",2015,0,"lake buloke","richardson","donald"
"475",2016,465.009,"lake buloke","richardson","donald"
"476",2017,0.7,"lake buloke","richardson","donald"
"477",2018,0.197,"lake buloke","richardson","donald"
"478",2019,18.412,"lake buloke","richardson","donald"
"479",2020,0.079,"lake buloke","richardson","donald"
"480",2021,25.126,"lake buloke","richardson","donald"
"481",2022,518.444,"lake buloke","richardson","donald"
"482",2023,184.207,"lake buloke","richardson","donald"
